[00:00:01] [Server thread/INFO]: Named entity class_4836['⎓ꖎᔑ╎∷ ᒷ∷⊣ᒷ↸╎ℸ ̣ ⍑'/23514, l='ServerLevel[CJU]', x=-51.50, y=93.00, z=-21.50] died: ⎓ꖎᔑ╎∷ ᒷ∷⊣ᒷ↸╎ℸ ̣ ⍑ fell from a high place
[00:00:09] [Server thread/INFO]: Named entity class_4836['ᔑ⚍∷ᒷꖎ╎⚍ᓭ ᓭ!¡ᔑ∷ꖌ'/23408, l='ServerLevel[CJU]', x=6.76, y=51.25, z=-12.98] died: ᔑ⚍∷ᒷꖎ╎⚍ᓭ ᓭ!¡ᔑ∷ꖌ went up in flames
[00:00:29] [Server thread/INFO]: Named entity class_4836['ᔑ⚍∷ᒷꖎ╎ᔑリ𝙹 ↸∷ᔑ∷𝙹ꖎ'/23401, l='ServerLevel[CJU]', x=216.53, y=26.00, z=214.53] died: ᔑ⚍∷ᒷꖎ╎ᔑリ𝙹 ↸∷ᔑ∷𝙹ꖎ tried to swim in lava
[00:00:29] [Server thread/INFO]: Named entity class_4836['𝙹∷𝙹 ᒲᔑ∷リᔑ∷ᔑリ'/23403, l='ServerLevel[CJU]', x=223.34, y=24.90, z=214.57] died: 𝙹∷𝙹 ᒲᔑ∷リᔑ∷ᔑリ tried to swim in lava
[00:00:36] [Server thread/INFO]: Named entity class_4836['⍑ᒷᒲᔑ ᓭᓵ𝙹∷ᓵ⍑'/23542, l='ServerLevel[CJU]', x=53.64, y=67.25, z=82.08] died: ⍑ᒷᒲᔑ ᓭᓵ𝙹∷ᓵ⍑ went up in flames
[00:00:47] [Server thread/INFO]: Named entity class_4836['ᔑ↸╎ᓭ⍑ ʖ𝙹ꖎᒲ𝙹∷𝙹リ'/23404, l='ServerLevel[CJU]', x=211.43, y=35.88, z=230.49] died: ᔑ↸╎ᓭ⍑ ʖ𝙹ꖎᒲ𝙹∷𝙹リ fell from a high place
[00:01:12] [Worker-Main-2/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/23775, l='ServerLevel[CJU]', x=-136.00, y=84.00, z=292.00] as it would cause deadlock
[00:01:12] [Server thread/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/23783, l='ServerLevel[CJU]', x=-136.00, y=84.00, z=292.00] as it would cause deadlock
[00:01:20] [Server thread/INFO]: Named entity class_4836['ᒷ⚍∷∴ᒷリ ʖᒷᔑꖌ'/23718, l='ServerLevel[CJU]', x=109.50, y=43.25, z=5.75] died: ᒷ⚍∷∴ᒷリ ʖᒷᔑꖌ went up in flames
[00:01:23] [Server thread/INFO]: Named entity class_4836['𝙹∷╎ᔑリᔑ 𝙹ꖎ∷𝙹ℸ ̣ ⍑'/23405, l='ServerLevel[CJU]', x=211.30, y=35.88, z=231.33] died: 𝙹∷╎ᔑリᔑ 𝙹ꖎ∷𝙹ℸ ̣ ⍑ fell from a high place
[00:01:28] [Server thread/INFO]: Named entity class_4836['ᓵ||∷ᔑ ↸∷ᔑ⨅⊣ᔑꖎꖎᒷℸ ̣ ⍑'/23402, l='ServerLevel[CJU]', x=211.42, y=35.88, z=230.34] died: ᓵ||∷ᔑ ↸∷ᔑ⨅⊣ᔑꖎꖎᒷℸ ̣ ⍑ fell from a high place
[00:01:30] [Server thread/INFO]: Named entity class_4836['𝙹∷ᔑꖎ╎ᒷ ᔑ⨅'⊣𝙹⨅𝙹ꖎ'/23420, l='ServerLevel[CJU]', x=230.47, y=26.00, z=214.53] died: 𝙹∷ᔑꖎ╎ᒷ ᔑ⨅'⊣𝙹⨅𝙹ꖎ tried to swim in lava
[00:01:30] [Server thread/INFO]: Named entity class_4836['∴𝙹∷ꖌリᒷᓭ⍑ ⊣ᒷリᒷᓭ╎ᓭ'/23421, l='ServerLevel[CJU]', x=235.55, y=25.60, z=214.44] died: ∴𝙹∷ꖌリᒷᓭ⍑ ⊣ᒷリᒷᓭ╎ᓭ tried to swim in lava
